InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
547005,22321,BIRD DECORATION RED RETROSPOT,12,3/18/2011 14:20,0.85,12474.0,Germany
547005,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,3/18/2011 14:20,0.85,12474.0,Germany
547005,22367,CHILDRENS APRON SPACEBOY DESIGN,8,3/18/2011 14:20,1.95,12474.0,Germany
547005,22631,CIRCUS PARADE LUNCH BOX ,24,3/18/2011 14:20,1.95,12474.0,Germany
547005,22716,CARD CIRCUS PARADE,12,3/18/2011 14:20,0.42,12474.0,Germany
547005,22711,WRAP CIRCUS PARADE,25,3/18/2011 14:20,0.42,12474.0,Germany
547005,16161U,WRAP SUKI AND FRIENDS,25,3/18/2011 14:20,0.42,12474.0,Germany
547005,22045,SPACEBOY GIFT WRAP,25,3/18/2011 14:20,0.42,12474.0,Germany
547005,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,3/18/2011 14:20,1.25,12474.0,Germany
547005,22629,SPACEBOY LUNCH BOX ,12,3/18/2011 14:20,1.95,12474.0,Germany
547005,23177,TREASURE ISLAND BOOK BOX,8,3/18/2011 14:20,2.25,12474.0,Germany
547005,23194,GYMKHANA TREASURE BOOK BOX,8,3/18/2011 14:20,2.25,12474.0,Germany
547005,22236,CAKE STAND 3 TIER MAGIC GARDEN,1,3/18/2011 14:20,12.75,12474.0,Germany
547005,22302,COFFEE MUG PEARS  DESIGN,6,3/18/2011 14:20,2.55,12474.0,Germany
547005,22637,PIGGY BANK RETROSPOT ,4,3/18/2011 14:20,2.55,12474.0,Germany
547005,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,3/18/2011 14:20,2.55,12474.0,Germany
547005,22432,WATERING CAN PINK BUNNY,6,3/18/2011 14:20,1.95,12474.0,Germany
547005,22431,WATERING CAN BLUE ELEPHANT,6,3/18/2011 14:20,1.95,12474.0,Germany
547005,21746,SMALL RED RETROSPOT WINDMILL,12,3/18/2011 14:20,1.25,12474.0,Germany
547005,21698,MOCK LOBSTER FRIDGE MAGNET,12,3/18/2011 14:20,0.85,12474.0,Germany
547005,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,3/18/2011 14:20,0.85,12474.0,Germany
547005,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,12,3/18/2011 14:20,1.25,12474.0,Germany
547005,22423,REGENCY CAKESTAND 3 TIER,2,3/18/2011 14:20,12.75,12474.0,Germany
547005,23007, SPACEBOY BABY GIFT SET,1,3/18/2011 14:20,16.95,12474.0,Germany
547005,23010,CIRCUS PARADE BABY GIFT SET,1,3/18/2011 14:20,16.95,12474.0,Germany
547005,POST,POSTAGE,4,3/18/2011 14:20,18.0,12474.0,Germany
547017,21524,DOORMAT SPOTTY HOME SWEET HOME,4,3/18/2011 14:51,7.95,13468.0,United Kingdom
547017,21843,RED RETROSPOT CAKE STAND,3,3/18/2011 14:51,10.95,13468.0,United Kingdom
547017,20828,GLITTER BUTTERFLY CLIPS,6,3/18/2011 14:51,2.55,13468.0,United Kingdom
547017,46776E,WOVEN CANDY CUSHION COVER ,2,3/18/2011 14:51,4.95,13468.0,United Kingdom
547017,46776B,WOVEN BERRIES CUSHION COVER ,2,3/18/2011 14:51,4.95,13468.0,United Kingdom
547017,46000M,POLYESTER FILLER PAD 45x45cm,2,3/18/2011 14:51,1.55,13468.0,United Kingdom
547017,22379,RECYCLING BAG RETROSPOT ,5,3/18/2011 14:51,2.1,13468.0,United Kingdom
547018,79000,MOROCCAN TEA GLASS,84,3/18/2011 14:53,0.85,17043.0,United Kingdom
547018,20801,LARGE PINK GLASS SUNDAE DISH,10,3/18/2011 14:53,2.55,17043.0,United Kingdom
547018,71459,HANGING JAM JAR T-LIGHT HOLDER,12,3/18/2011 14:53,0.85,17043.0,United Kingdom
547018,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,1,3/18/2011 14:53,1.25,17043.0,United Kingdom
547018,22534,MAGIC DRAWING SLATE SPACEBOY ,12,3/18/2011 14:53,0.42,17043.0,United Kingdom
547018,22530,MAGIC DRAWING SLATE DOLLY GIRL ,10,3/18/2011 14:53,0.42,17043.0,United Kingdom
547018,22230,JIGSAW TREE WITH WATERING CAN,1,3/18/2011 14:53,0.85,17043.0,United Kingdom
547018,22231,JIGSAW TREE WITH BIRDHOUSE,1,3/18/2011 14:53,1.45,17043.0,United Kingdom
547018,22233,JIGSAW RABBIT AND BIRDHOUSE,1,3/18/2011 14:53,1.65,17043.0,United Kingdom
547018,22796,PHOTO FRAME 3 CLASSIC HANGING,2,3/18/2011 14:53,9.95,17043.0,United Kingdom
547018,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,3/18/2011 14:53,1.25,17043.0,United Kingdom
547018,37342,POLKADOT COFFEE CUP & SAUCER PINK,4,3/18/2011 14:53,0.79,17043.0,United Kingdom
547019,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1,3/18/2011 14:54,2.55,17841.0,United Kingdom
547019,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,1,3/18/2011 14:54,0.85,17841.0,United Kingdom
547019,21155,RED RETROSPOT PEG BAG,1,3/18/2011 14:54,2.55,17841.0,United Kingdom
547019,85205B,PINK FELT EASTER RABBIT GARLAND,1,3/18/2011 14:54,2.55,17841.0,United Kingdom
547019,22451,SILK PURSE BABUSHKA RED,2,3/18/2011 14:54,3.35,17841.0,United Kingdom
547019,21975,PACK OF 60 DINOSAUR CAKE CASES,4,3/18/2011 14:54,0.55,17841.0,United Kingdom
547019,22978,PANTRY ROLLING PIN,1,3/18/2011 14:54,3.75,17841.0,United Kingdom
547019,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1,3/18/2011 14:54,2.1,17841.0,United Kingdom
547019,21668,RED STRIPE CERAMIC DRAWER KNOB,9,3/18/2011 14:54,1.25,17841.0,United Kingdom
547019,22726,ALARM CLOCK BAKELIKE GREEN,1,3/18/2011 14:54,3.75,17841.0,United Kingdom
547019,20668,DISCO BALL CHRISTMAS DECORATION,24,3/18/2011 14:54,0.12,17841.0,United Kingdom
547019,20996,JAZZ HEARTS ADDRESS BOOK,5,3/18/2011 14:54,0.42,17841.0,United Kingdom
547019,22149,FELTCRAFT 6 FLOWER FRIENDS,1,3/18/2011 14:54,2.1,17841.0,United Kingdom
547019,20725,LUNCH BAG RED RETROSPOT,1,3/18/2011 14:54,1.65,17841.0,United Kingdom
547019,22382,LUNCH BAG SPACEBOY DESIGN ,1,3/18/2011 14:54,1.65,17841.0,United Kingdom
547019,22041,"RECORD FRAME 7"" SINGLE SIZE ",2,3/18/2011 14:54,2.55,17841.0,United Kingdom
547019,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,3/18/2011 14:54,2.55,17841.0,United Kingdom
547019,20723,STRAWBERRY CHARLOTTE BAG,1,3/18/2011 14:54,0.85,17841.0,United Kingdom
547019,22383,LUNCH BAG SUKI DESIGN ,5,3/18/2011 14:54,1.65,17841.0,United Kingdom
547019,22179,SET 10 LIGHTS NIGHT OWL,2,3/18/2011 14:54,6.75,17841.0,United Kingdom
547019,79321,CHILLI LIGHTS,4,3/18/2011 14:54,5.75,17841.0,United Kingdom
547019,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,3/18/2011 14:54,6.95,17841.0,United Kingdom
547020,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,3/18/2011 15:42,2.55,17017.0,United Kingdom
547020,21731,RED TOADSTOOL LED NIGHT LIGHT,12,3/18/2011 15:42,1.65,17017.0,United Kingdom
547020,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,12,3/18/2011 15:42,0.85,17017.0,United Kingdom
547020,22616,PACK OF 12 LONDON TISSUES ,24,3/18/2011 15:42,0.29,17017.0,United Kingdom
547020,22659,LUNCH BOX I LOVE LONDON,12,3/18/2011 15:42,1.95,17017.0,United Kingdom
547020,22900, SET 2 TEA TOWELS I LOVE LONDON ,6,3/18/2011 15:42,2.95,17017.0,United Kingdom
547020,22911,PAPER CHAIN KIT LONDON,6,3/18/2011 15:42,2.95,17017.0,United Kingdom
547020,22992,REVOLVER WOODEN RULER ,12,3/18/2011 15:42,1.95,17017.0,United Kingdom
547020,22993,SET OF 4 PANTRY JELLY MOULDS,12,3/18/2011 15:42,1.25,17017.0,United Kingdom
547020,22197,SMALL POPCORN HOLDER,72,3/18/2011 15:42,0.85,17017.0,United Kingdom
547020,22978,PANTRY ROLLING PIN,12,3/18/2011 15:42,3.75,17017.0,United Kingdom
547020,22979,PANTRY WASHING UP BRUSH,36,3/18/2011 15:42,1.45,17017.0,United Kingdom
547020,22982,PANTRY PASTRY BRUSH,12,3/18/2011 15:42,1.25,17017.0,United Kingdom
547020,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,12,3/18/2011 15:42,1.25,17017.0,United Kingdom
547020,22045,SPACEBOY GIFT WRAP,25,3/18/2011 15:42,0.42,17017.0,United Kingdom
547020,20979,36 PENCILS TUBE RED RETROSPOT,16,3/18/2011 15:42,1.25,17017.0,United Kingdom
547021,21937,STRAWBERRY   PICNIC BAG,5,3/18/2011 15:43,2.95,13046.0,United Kingdom
547021,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,3/18/2011 15:43,4.95,13046.0,United Kingdom
547021,20749,ASSORTED COLOUR MINI CASES,2,3/18/2011 15:43,7.95,13046.0,United Kingdom
